ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
199778,0000;400000,0000;400000,0000;210000,0;400000;193935,0000;3,0000;2,000;5;3;42,3622190186350;10,28462826955291;comuna;16109;Yungay;NA
212244,0000;400000,0000;426923,0000;200000,0;419000;212057,0000;4,0000;2,000;5;3;43,2488754396008;9,18891977379473;comuna;16201;Quirihue;NA
204750,0000;400000,0000;417500,0000;195000,0;480000;204750,0000;3,0000;2,000;4;2;49,6902132520945;9,16556714194507;comuna;16202;Cobquecura;NA
193917,0000;450000,0000;450000,0000;368000,0;450000;192680,0000;3,0000;2,000;4;2;41,0690369143399;9,96029649200058;comuna;16203;Coelemu;NA
214171,0000;400000,0000;400000,0000;395000,0;450000;214171,0000;3,0000;2,000;5;3;42,2012637056312;9,57207207207208;comuna;16204;Ninhue;NA
200000,0000;420000,0000;420000,0000;178000,0;420000;199778,0000;4,0000;2,000;5;3;47,0998159132746;9,91300323924110;comuna;16205;Portezuelo;NA
193917,0000;400000,0000;380000,0000;185000,0;400000;193917,0000;3,0000;2,000;4;2;46,2583929992044;9,60011217049918;comuna;16206;Ranquil;NA
193917,0000;450000,0000;450000,0000;280000,0;450000;193000,0000;3,0000;2,000;4;2;42,8218320876065;9,05345528455285;comuna;16207;Treguaco;NA
199778,0000;400000,0000;400000,0000;220000,0;400000;193935,0000;3,0000;2,000;4;2;41,5282839486613;10,11292280643024;comuna;16301;San Carlos;NA
198861,0000;380000,0000;370000,0000;180000,0;400000;190861,0000;3,0000;2,000;5;3;41,1525623677181;8,93528580084832;comuna;16302;Coihueco;NA
193935,0000;400000,0000;400000,0000;270000,0;380000;193917,0000;2,0000;1,000;4;2;46,0438550875367;8,60181910055584;comuna;16303;Ñiquén;NA
207736,0000;400000,0000;436886,0000;200000,0;400000;200000,0000;3,0000;2,000;4;2;46,9871226514673;9,51246819338424;comuna;16304;San Fabián;NA
193935,0000;400000,0000;400000,0000;178000,0;400000;193917,0000;3,0000;2,000;4;2;41,1244843484593;9,85827775598275;comuna;16305;San Nicolás;NA
230000,0000;600000,0000;600000,0000;250000,0;650000;200000,0000;6,0000;3,000;5;3;36,0400801009701;12,23784367189220;comuna;2101;Antofagasta;NA
