cut_comuna;comuna;pobreza_p;pobreza_multi_p
6108;Machalí;0,02322920969843338;0,1355143156757444
6109;Malloa;0,02363253856942496;0,0995091164095372
6110;Mostazal;0,05900952110274264;0,2543342333380702
6111;Olivar;0,10709243697478991;0,1647058823529412
6112;Peumo;0,07721029470596079;0,0766768902520336
6113;Pichidegua;0,10741200038157016;0,0818467995802728
6114;Quinta de Tilcoco;0,06165062287655719;0,1373159682899207
6115;Rengo;0,04767540152155537;0,1230308153385076
6116;Requínoa;0,01768154008776706;0,1661808514045933
6117;San Vicente;0,13243520507907014;0,1780190852254031
6201;Pichilemu;0,10778313383523805;0,1792233114878405
6202;La Estrella;0,02854393842206543;0,1577934573444516
6203;Litueche;0,11924473493100944;0,3350762527233115
6204;Marchihue;0,02992843201040989;0,1499024072869226
6205;Navidad;0,24655784244144782;0,1982966643009226
6206;Paredones;0,06128929818990156;0,1903778977453160
6301;San Fernando;0,07902383060443192;0,1340674140489581
6302;Chépica;0,06724309529733764;0,1507837770589699
6303;Chimbarongo;0,08766182713978721;0,1787829550815032
6304;Lolol;0,02658210767777628;0,1671839158008366
6305;Nancagua;0,10065634293918573;0,1804430314839504
6306;Palmilla;0,09091583240637746;0,1804968483500185
6307;Peralillo;0,07309190353857628;0,1964034142703240
6308;Placilla;0,08567096285064443;0,2353514567312899
6309;Pumanque;0,07784090909090909;0,3857954545454546
6310;Santa Cruz;0,07893672211513290;0,0799362223650080
7101;Talca;0,05725618156165330;0,1096345376678833
7102;Constitución;0,14315114576324850;0,1716270233901927
7103;Curepto;0,14504971897968008;0,1343493298746217
7104;Empedrado;0,15492957746478872;0,1281928861303414
7105;Maule;0,10587858645607830;0,0989267311034546
7106;Pelarco;0,03335126412049489;0,2506724045185584
7107;Pencahue;0,11559420289855073;0,1842318840579710
7108;Río Claro;0,04439845106155695;0,2288022432901589
7109;San Clemente;0,09493831333446003;0,1732085516308940
7110;San Rafael;0,13699433261676763;0,0877467265976158
7201;Cauquenes;0,13645589031210537;0,1795507847735883
7202;Chanco;0,17743324720068906;0,2189922480620155
7203;Pelluhue;0,14882600842865742;0,2387718242022878
7301;Curicó;0,08407486777041025;0,1901612874502099
7302;Hualañé;0,06190103657344025;0,1356346567572853
7303;Licantén;0,04889206576125804;0,1323802716225876
7304;Molina;0,06522630931218379;0,1825125510343615
7305;Rauco;0,04015230183454482;0,2191934925579785
7306;Romeral;0,05851927587658628;0,1485535574667709
7307;Sagrada Familia;0,01567509796936231;0,1682019441192936
7308;Teno;0,03748054505606200;0,2314900104818473
7309;Vichuquén;0,08659603869184708;0,1559189313680332
7401;Linares;0,10505655097360954;0,0940767227641960
7402;Colbún;0,13438837722142949;0,2074631383231721
7403;Longaví;0,08232576280339624;0,1889232246257238
7404;Parral;0,08613710266109231;0,1266396796956224
7405;Retiro;0,13863615045492919;0,1705749929650127
7406;San Javier;0,08373432200047330;0,1433304409560621
7407;Villa Alegre;0,05432223343424151;0,1215943491422805
7408;Yerbas Buenas;0,12881148168956535;0,1400480106236273
8101;Concepción;0,06242967982098417;0,1171006127527867
8102;Coronel;0,05562596817349669;0,1291445649282574
8103;Chiguayante;0,05961211222130110;0,1059819363846590
8104;Florida;0,09659760821963954;0,2755600471618663
8105;Hualqui;0,11950135583006929;0,2643868635131064
8106;Lota;0,10807726075504828;0,1811018437225637
8107;Penco;0,05314964560247579;0,0972746331236897
8108;San Pedro de la Paz;0,05465952197787623;0,0912539459373425
8109;Santa Juana;0,02867528271405493;0,1738018309100700
8110;Talcahuano;0,04926180013278113;0,1144699819797035
8111;Tomé;0,08103068316663842;0,1680115273775216
8112;Hualpén;0,02105327768229806;0,1001514035518455
8201;Lebu;0,11221669430624655;0,2661875806154413
8202;Arauco;0,07942266131522074;0,1494802922712772
8203;Cañete;0,12716204982435439;0,3329489689201148
8204;Contulmo;0,11731404308853594;0,2737851863500551
8205;Curanilahue;0,08811831600035354;0,2319771381433580
8206;Los Alamos;0,12772394440303417;0,1823562941202262
8207;Tirúa;0,26638974173740293;0,3566010474986455
8301;Los Angeles;0,09259985485492253;0,1473583145140570
8302;Antuco;0,05397266620338198;0,1355107713690062
8303;Cabrero;0,10961072524632531;0,1730899693102891
8304;Laja;0,10833298490613372;0,1827570347451603
8305;Mulchén;0,10894716544543000;0,2443116081758581
8306;Nacimiento;0,09971072461697797;0,0903896289418235
8307;Negrete;0,06165099268547544;0,1825781324213926
8308;Quilaco;0,07247070078928486;0,1382444391293949
8309;Quilleco;0,02658670664667666;0,1644177911044478
8310;San Rosendo;0,10473256790814897;0,1570988518622235
8311;Santa Bárbara;0,21345707656612528;0,1212638187525590
8312;Tucapel;0,16097942172440741;0,1288747069549362
8313;Yumbel;0,15354792173834642;0,1177531331710396
8314;Alto Biobío;0,22523985239852398;0,4199261992619926
